final_id,text,logprobs_forward,logprobs_backward,step
2,c1(F)cc(-c2ccc[n+](-c3c(=O)[nH]c(=O)n(N4CCN(c5cc(C6C(C)CCC(C(C)(C)O)C6)[nH]c5)CC4)c3)c2)c2ccccc2c1,-2.127,-2.773,25
2,c1(F)cc(-c2ccc[n+](-c3cn(N4CCN(c5(C6(C(C)(C)O)C(C)CCCC6)cc[nH]c5)CC4)c(=O)[nH]c3=O)c2)c2ccccc2c1,-2.1087,-5.202999999999999,22
2,c1(F)cc(-c2ccc[nH+]c2)c2ccccc2c1,-3.049,-1.099,4
2,c1ccc2ccccc2c1,-3.924,-0.6934,1
3,c1(-c2(C3CCOCC3)cc[nH]c2)(CNC=O)cc[nH]c1,-2.885,-1.099,4
3,c1(-c2cc[nH]c2)(CNC=O)cc[nH]c1,-4.137,-0.6934,3
3,c1(-c2cc[nH]c2)cc[nH]c1,-1.486,-0.6934,2
3,c1(C(NC=O)N2(N(C=O)C3(C4(c5cc[nH]c5)CCOCC4)CCOCC3)CCNCC2)cc(-c2(C3CCOCC3)cc[nH]c2)[nH]c1,-2.963,-1.387,10
3,c1(C(NC=O)N2(N(C=O)C3(C4CCOCC4)CCOCC3)CCNCC2)cc(-c2(C3CCOCC3)cc[nH]c2)[nH]c1,-3.133,-1.099,9
3,c1(C(NC=O)N2(N(C=O)C3CC(C4(c5cc[nH]c5)CCOCC4)CCO3)CCNCC2)cc(-c2(C3CCOCC3)cc[nH]c2)[nH]c1,-7.766,-3.218,12
3,c1(C(NC=O)N2(N(C=O)C3CC(C4(c5cc[nH]c5)CCOCC4)CCO3)CCNCC2)cc(-c2cc(C3CCOCC3)[nH]c2)[nH]c1,-2.512,-1.792,13
3,c1(C(NC=O)N2(N(C=O)C3CC(C4(c5cc[nH]c5)CCOCC4)CCO3)CCNCC2)cc(-c2cc(C3OCCCC3)[nH]c2)[nH]c1,-10.916,-5.9719999999999995,16
3,c1(C(NC=O)N2(N(C=O)C3CC(C4C(c5cc[nH]c5)COCC4)CCO3)CCNCC2)cc(-c2cc(C3OCCCC3)[nH]c2)[nH]c1,-2.162,-2.197,17
3,c1(C(NC=O)N2(N(C=O)C3CCOCC3)CCNCC2)cc(-c2(C3CCOCC3)cc[nH]c2)[nH]c1,-3.053,-1.099,8
3,c1(C(NC=O)N2(NC=O)CCNCC2)cc(-c2(C3CCOCC3)cc[nH]c2)[nH]c1,-4.55,-1.099,7
3,c1(C(NC=O)N2CCNCC2)c[nH]c(-c2(C3CCOCC3)cc[nH]c2)c1,-3.191,-1.099,6
3,c1(CNC(=O)N2(N(C=O)C3CC(C4C(c5cc[nH]c5)COCC4)CCO3)CCNCC2)cc(-c2cc(C3OCCCC3)[nH]c2)[nH]c1,-1.912,-2.303,18
3,c1(CNC(=O)N2CCN(N(C=O)C3C(C4C(c5cc[nH]c5)COCC4)CCCO3)CC2)cc(-c2cc(C3OCCCC3)[nH]c2)[nH]c1,-4.401,-7.686999999999999,22
3,c1(CNC(=O)N2CCN(N(C=O)C3CC(C4C(c5cc[nH]c5)COCC4)CCO3)CC2)cc(-c2cc(C3OCCCC3)[nH]c2)[nH]c1,-1.744,-2.398,19
3,c1(CNC(=O)N2CCN(NC(=O)C3C(C4C(c5cc[nH]c5)COCC4)CCCO3)CC2)cc(-c2cc(C3OCCCC3)[nH]c2)[nH]c1,-0.66484,-5.482,25
3,c1(CNC=O)c[nH]c(-c2(C3CCOCC3)cc[nH]c2)c1,-3.646,-1.099,5
3,c1cc[nH]c1,-1.477,-0.6934,1
4,c1(C2(C3CCCCC3)CCOCC2)cc(C2(Cl)CC(N3(c4cc(-c5cc(N6CCNCC6)[nH]c5)[nH]c4)CCNCC3)OCC2)[nH]c1,-2.025,-2.398,18
4,c1(C2(C3CCCCC3)CCOCC2)cc(C2(Cl)CC(N3CCN(c4cc(-c5cc(N6CCNCC6)[nH]c5)[nH]c4)CC3)OCC2)[nH]c1,-1.72,-2.484,19
4,c1(C2(Cl)CC(N3(c4(-c5(N6CCNCC6)cc[nH]c5)cc[nH]c4)CCNCC3)OCC2)(C2(C3CCCCC3)CCOCC2)cc[nH]c1,-14.622,-9.373000000000001,15
4,c1(C2(Cl)CC(N3(c4(-c5(N6CCNCC6)cc[nH]c5)cc[nH]c4)CCNCC3)OCC2)(C2CCOCC2)cc[nH]c1,-3.674,-1.609,10
4,c1(C2(Cl)CC(N3(c4(-c5cc(N6CCNCC6)[nH]c5)cc[nH]c4)CCNCC3)OCC2)(C2(C3CCCCC3)CCOCC2)cc[nH]c1,-2.342,-2.197,16
4,c1(C2(Cl)CC(N3(c4(-c5cc[nH]c5)cc[nH]c4)CCNCC3)OCC2)(C2CCOCC2)cc[nH]c1,-11.48,-3.218,9
4,c1(C2(Cl)CC(N3(c4cc(-c5cc(N6CCNCC6)[nH]c5)[nH]c4)CCNCC3)OCC2)(C2(C3CCCCC3)CCOCC2)cc[nH]c1,-2.178,-2.303,17
4,c1(C2(N3CCNCC3)CCOCC2)cc[nH]c1,-3.139,-0.6934,3
4,c1(C2C(C3CCCCC3)COCC2)cc(C2(Cl)CC(N3CCN(c4cc(-c5cc(N6CCNCC6)[nH]c5)[nH]c4)CC3)OCC2)[nH]c1,-1.662,-2.484,20
4,c1(C2C(C3CCCCC3)COCC2)cc(C2C(Cl)C(N3CCN(c4cc(-c5cc(N6CCNCC6)[nH]c5)[nH]c4)CC3)OCC2)[nH]c1,-3.28305,-10.685,25
4,c1(C2CC(N3(c4(-c5cc[nH]c5)cc[nH]c4)CCNCC3)OCC2)(C2CCOCC2)cc[nH]c1,-3.396,-1.387,7
4,c1(C2CC(N3(c4(-c5cc[nH]c5)cc[nH]c4)CCNCC3)OCC2)cc[nH]c1,-2.771,-1.099,6
4,c1(C2CC(N3(c4cc[nH]c4)CCNCC3)OCC2)cc[nH]c1,-2.705,-1.099,5
4,c1(C2CC(N3CCNCC3)OCC2)cc[nH]c1,-6.26,-1.099,4
4,c1(C2CCOCC2)cc[nH]c1,-2.008,-0.6934,2
4,c1cc[nH]c1,-1.477,-0.6934,1
5,N(C(=O)N1(c2(N3(C4(c5(C6CCCCC6)ccc6ccccc6c5)CCCCC4)CCNCC3)cc[nH]c2)CCNCC1)c1(CNC=O)cc[nH]c1,-3.504,-1.609,11
5,N(C(=O)N1(c2(N3(C4(c5ccc6ccccc6c5)CCCCC4)CCNCC3)cc[nH]c2)CCNCC1)c1(CNC=O)cc[nH]c1,-4.637,-1.387,10
5,N(C(=O)N1(c2(N3(C4(c5ccc6ccccc6c5)CCCCC4)CCNCC3)cc[nH]c2)CCNCC1)c1cc[nH]c1,-4.703,-1.387,9
5,N(C(=O)N1(c2(N3(C4CCCCC4)CCNCC3)cc[nH]c2)CCNCC1)c1cc[nH]c1,-7.022,-2.198,8
5,N(C(=O)N1(c2(N3CCN(C4(c5(C6CCCCC6)ccc6ccccc6c5)CCCCC4)CC3)cc[nH]c2)CCNCC1)c1(CNC=O)cc[nH]c1,-2.545,-1.792,12
5,N(C(=O)N1(c2(N3CCNCC3)cc[nH]c2)CCNCC1)c1cc[nH]c1,-3.684,-1.099,6
5,N(C(=O)N1CCN(c2(N3CCN(C4(c5(C6CCCCC6)ccc6ccccc6c5)CCCCC4)CC3)cc[nH]c2)CC1)c1(CNC=O)cc[nH]c1,-2.422,-1.946,13
5,N(C(=O)N1CCN(c2(N3CCN(C4C(c5(C6CCCCC6)ccc6ccccc6c5)CCCC4)CC3)cc[nH]c2)CC1)c1(CNC=O)cc[nH]c1,-2.402,-1.946,14
5,N(C(=O)N1CCN(c2(N3CCN(C4C(c5cc(C6CCCCC6)c6ccccc6c5)CCCC4)CC3)cc[nH]c2)CC1)c1(CNC=O)cc[nH]c1,-4.694,-4.026,16
5,N(C(=O)N1CCN(c2cc(N3CCN(C4C(c5cc(C6CCCCC6)c6ccccc6c5)CCCC4)CC3)[nH]c2)CC1)c1(CNC=O)cc[nH]c1,-7.772,-9.382,20
5,N(C(=O)N1CCN(c2cc(N3CCN(C4C(c5cc(C6CCCCC6)c6ccccc6c5)CCCC4)CC3)[nH]c2)CC1)c1cc(CNC=O)[nH]c1,-7.525200000000001,-10.685,25
5,N(C=O)(c1cc[nH]c1)N1(c2(N3CCNCC3)cc[nH]c2)CCNCC1,-3.213,-1.099,5
5,N(C=O)(c1cc[nH]c1)N1(c2cc[nH]c2)CCNCC1,-2.324,-0.6934,4
5,N(C=O)(c1cc[nH]c1)N1CCNCC1,-3.146,-0.6934,3
5,N(C=O)c1cc[nH]c1,-1.46,-0.6934,2
5,NC=O,-3.848,-0.6934,1
6,C1(C2(C3(c4(C5CCNC5)cc[nH]c4)CCNC3)CCOCC2)(C2(N3(C(F)(F)F)CCNCC3)(C3CCCN3)CCNCC2)CCCCC1,-5.324,-1.387,10
6,C1(C2(C3(c4(C5CCNC5)cc[nH]c4)CCNC3)CCOCC2)(C2(N3(C(F)(F)F)CCNCC3)(C3CCNC3)CCNCC2)CCCCC1,-4.516,-1.099,9
6,C1(C2(C3(c4(C5CCNC5)cc[nH]c4)CCNC3)CCOCC2)CCCCC1C1(N2(C(F)(F)F)CCNCC2)(C2CCCN2)CCNCC1,-5.465,-1.387,11
6,C1(C2(C3(c4(C5CCNC5)cc[nH]c4)CCNC3)CCOCC2)CCCCC1C1(N2CCN(C(F)(F)F)CC2)(C2CCCN2)CCNCC1,-10.993,-7.427,15
6,C1(C2(C3(c4cc[nH]c4)CCNC3)CCOCC2)(C2(N3(C(F)(F)F)CCNCC3)(C3CCNC3)CCNCC2)CCCCC1,-3.244,-1.099,8
6,C1(C2(C3CCNC3)CCOCC2)(C2(N3(C(F)(F)F)CCNCC3)(C3CCNC3)CCNCC2)CCCCC1,-6.312,-1.099,7
6,C1(C2(C3CCNC3)CCOCC2)(C2(N3CCNCC3)(C3CCNC3)CCNCC2)CCCCC1,-4.297,-1.099,6
6,C1(C2(C3CCNC3)CCOCC2)(C2(N3CCNCC3)CCNCC2)CCCCC1,-4.207,-1.099,5
6,C1(C2CCOCC2)(C2(N3CCNCC3)CCNCC2)CCCCC1,-3.56,-0.6934,4
6,C1(C2CCOCC2)(C2CCNCC2)CCCCC1,-4.613,-0.6934,3
6,C1(C2CCOCC2)CCCCC1,-2.004,-0.6934,2
6,C1C(C2(C3(c4(C5CCNC5)cc[nH]c4)CCNC3)CCOCC2)CCCC1C1(N2CCN(C(F)(F)F)CC2)(C2CCCN2)CCNCC1,-4.682,-4.5,17
6,C1C(C2(C3(c4(C5CCNC5)cc[nH]c4)CCNC3)CCOCC2)CCCC1C1(N2CCN(C(F)(F)F)CC2)C(C2CCCN2)CNCC1,-2.1,-2.303,18
6,C1C(C2(C3(c4cc(C5CCNC5)[nH]c4)CCNC3)CCOCC2)CCCC1C1(N2CCN(C(F)(F)F)CC2)C(C2CCCN2)CNCC1,-3.761,-4.882,20
6,C1C(C2C(C3(c4cc(C5CCNC5)[nH]c4)CCNC3)COCC2)CCCC1C1(N2CCN(C(F)(F)F)CC2)C(C2CCCN2)CNCC1,-3.6933,-7.912,23
6,C1C(C2C(C3(c4cc(C5CCNC5)[nH]c4)CCNC3)COCC2)CCCC1C1C(C2CCCN2)CN(N2CCN(C(F)(F)F)CC2)CC1,-2.307,-2.773,24
6,C1C(C2C(C3CC(c4cc(C5CCNC5)[nH]c4)NC3)COCC2)CCCC1C1C(C2CCCN2)CN(N2CCN(C(F)(F)F)CC2)CC1,-0.1439,0.0,25
6,C1CCCCC1,-1.792,-0.6934,1
7,c1(-c2(C3(C4(N5CCNCC5)CCOCC4)(c4c[nH]c5ccccc54)CCCCC3)cc[nH]c2)cc(C(NC=O)c2cc(C3CCNC3)c[nH]2)[nH]c1,-6.543,-1.609,11
7,c1(-c2(C3(C4(N5CCNCC5)CCOCC4)CCCCC3)cc[nH]c2)c[nH]c(C(NC=O)c2cc(C3CCNC3)c[nH]2)c1,-3.49,-1.609,10
7,c1(-c2(C3(C4(N5CCNCC5)CCOCC4)CCCCC3c3c[nH]c4ccccc43)cc[nH]c2)c[nH]c(C(NC=O)c2cc(C3CCNC3)c[nH]2)c1,-5.23,-1.792,12
7,c1(-c2(C3(C4CCOCC4)CCCCC3)cc[nH]c2)c[nH]c(C(NC=O)c2cc(C3CCNC3)c[nH]2)c1,-3.068,-1.387,9
7,c1(-c2(C3C(C4(N5CCNCC5)CCOCC4)CCCC3c3c[nH]c4ccccc43)cc[nH]c2)c[nH]c(C(NC=O)c2cc(C3CCNC3)c[nH]2)c1,-2.123,-1.946,13
7,c1(-c2(C3C(C4C(N5CCNCC5)CCOC4)CCCC3c3c[nH]c4ccccc43)cc[nH]c2)c[nH]c(C(NC=O)c2cc(C3CCNC3)c[nH]2)c1,-15.661999999999999,-8.303,17
7,c1(-c2(C3C(C4C(N5CCNCC5)CCOC4)CCCC3c3c[nH]c4ccccc43)cc[nH]c2)c[nH]c(CNC(=O)c2cc(C3CCNC3)c[nH]2)c1,-1.577,-2.303,18
7,c1(-c2(C3C(C4CC(N5CCNCC5)COC4)CCCC3c3c[nH]c4ccccc43)cc[nH]c2)c[nH]c(CNC(=O)c2cc(C3CCNC3)c[nH]2)c1,-1.361,-2.398,19
7,c1(-c2(C3CCCCC3)cc[nH]c2)(C(NC=O)c2(C3CCNC3)cc[nH]c2)cc[nH]c1,-3.389,-1.099,6
7,c1(-c2(C3CCCCC3)cc[nH]c2)(C(NC=O)c2cc[nH]c2)cc[nH]c1,-2.668,-0.6934,5
7,c1(-c2(C3CCCCC3)cc[nH]c2)(CNC=O)cc[nH]c1,-4.062,-0.6934,4
7,c1(-c2(C3CCCCC3)cc[nH]c2)c[nH]c(C(NC=O)c2(C3CCNC3)cc[nH]c2)c1,-3.602,-1.387,7
7,c1(-c2(C3CCCCC3)cc[nH]c2)c[nH]c(C(NC=O)c2cc(C3CCNC3)c[nH]2)c1,-6.76,-1.387,8
7,c1(-c2(C3CCCCC3)cc[nH]c2)c[nH]cc1,-2.156,-0.6934,3
7,c1(-c2cc(C3C(C4CC(N5CCNCC5)COC4)CCCC3c3c[nH]c4ccccc43)[nH]c2)cc(CNC(=O)c2cc(C3CCNC3)c[nH]2)[nH]c1,-3.8169,-13.169,25
7,c1(-c2cc[nH]c2)cc[nH]c1,-1.772,-0.6934,2
7,c1cc[nH]c1,-1.768,-0.6934,1
8,C1(C(NC=O)C2(C3CCCCC3)CCCCC2)(c2cc(C3(C4(c5ccc6ccccc6c5)CCOCC4)C(c4cc[nH]c4)CCCC3)[nH]c2)CCNCC1,-2.557,-1.609,11
8,C1(C(NC=O)C2(C3CCCCC3)CCCCC2)(c2cc(C3(c4cc[nH]c4)(C4(c5ccc6ccccc6c5)CCOCC4)CCCCC3)[nH]c2)CCNCC1,-6.066,-1.387,10
8,C1(C(NC=O)C2(C3CCCCC3)CCCCC2)(c2cc(C3(c4cc[nH]c4)(C4CCOCC4)CCCCC3)[nH]c2)CCNCC1,-3.95,-1.387,9
8,C1(C(NC=O)C2(C3CCCCC3)CCCCC2)(c2cc(C3(c4cc[nH]c4)CCCCC3)[nH]c2)CCNCC1,-3.271,-1.387,8
8,C1(C(NC=O)C2(C3CCCCC3)CCCCC2)C(c2cc(C3(C4(c5ccc6ccccc6c5)CCOCC4)C(c4cc[nH]c4)CCCC3)[nH]c2)CNCC1,-2.283,-1.792,12
8,C1(C(NC=O)C2CCCCC2)(c2(C3(c4cc[nH]c4)CCCCC3)cc[nH]c2)CCNCC1,-3.174,-1.099,6
8,C1(C(NC=O)C2CCCCC2)(c2(C3CCCCC3)cc[nH]c2)CCNCC1,-2.773,-0.6934,5
8,C1(C(NC=O)C2CCCCC2)(c2cc(C3(c4cc[nH]c4)CCCCC3)[nH]c2)CCNCC1,-4.285,-1.099,7
8,C1(C(NC=O)C2CCCCC2)(c2cc[nH]c2)CCNCC1,-2.748,-0.6934,4
8,C1(CNC(=O)C2(C3CCCCC3)CCCCC2)C(c2cc(C3(C4(c5ccc6ccccc6c5)CCOCC4)C(c4cc[nH]c4)CCCC3)[nH]c2)CNCC1,-7.705,-5.818,15
8,C1(CNC=O)(c2cc[nH]c2)CCNCC1,-2.49,-0.6934,3
8,C1(CNC=O)CCNCC1,-3.385,-0.6934,2
8,C1C(c2cc(C3(C4(c5ccc6ccccc6c5)CCOCC4)C(c4cc[nH]c4)CCCC3)[nH]c2)CN(CNC(=O)C2(C3CCCCC3)CCCCC2)CC1,-6.801,-4.5,17
8,C1C(c2cc(C3(C4(c5ccc6ccccc6c5)CCOCC4)C(c4cc[nH]c4)CCCC3)[nH]c2)CN(CNC(=O)C2CC(C3CCCCC3)CCC2)CC1,-1.652,-2.398,19
8,C1C(c2cc(C3(C4(c5ccc6ccccc6c5)CCOCC4)C(c4cc[nH]c4)CCCC3)[nH]c2)CN(CNC(=O)C2CCC(C3CCCCC3)CC2)CC1,-5.535,-2.303,18
8,C1C(c2cc(C3(C4CC(c5ccc6ccccc6c5)OCC4)C(c4cc[nH]c4)CCCC3)[nH]c2)CN(CNC(=O)C2CC(C3CCCCC3)CCC2)CC1,-8.462,-13.169,24
8,C1C(c2cc(C3C(c4cc[nH]c4)C(C4CC(c5ccc6ccccc6c5)OCC4)CCC3)[nH]c2)CN(CNC(=O)C2CC(C3CCCCC3)CCC2)CC1,-0.833,0.0,25
8,C1CCNCC1,-3.797,-0.6934,1
9,c1(F)(-c2(-c3cc[nH]c3)ccc[nH+]c2)cc[nH]c1,-1.96,-0.6934,4
9,c1(F)(-c2ccc[n+](-c3(-c4ccc[nH+]c4)cc[nH]c3)c2)cc[nH]c1,-4.047,-1.387,6
9,c1(F)(-c2ccc[n+](-c3cc[nH]c3)c2)cc[nH]c1,-3.033,-1.099,5
9,c1(F)(-c2ccc[nH+]c2)cc[nH]c1,-4.05,-0.6934,3
9,c1(F)c[nH]c(-c2ccc[n+](-c3(-c4ccc[nH+]c4)cc[nH]c3)c2)c1,-3.0,-1.387,7
9,c1(F)c[nH]c(-c2ccc[n+](-c3c[nH]c(-c4(-c5(C6(C7(c8cc[nH]c8)CCNC7)CCNC6)cc[nH]c5)ccc[nH+]c4)c3)c2)c1,-2.81,-1.792,12
9,c1(F)c[nH]c(-c2ccc[n+](-c3c[nH]c(-c4(-c5(C6(C7CCNC7)CCNC6)cc[nH]c5)ccc[nH+]c4)c3)c2)c1,-2.822,-1.609,11
9,c1(F)c[nH]c(-c2ccc[n+](-c3c[nH]c(-c4(-c5(C6CC(C7(c8cc[nH]c8)CCNC7)NC6)cc[nH]c5)ccc[nH+]c4)c3)c2)c1,-4.986,-3.738,14
9,c1(F)c[nH]c(-c2ccc[n+](-c3c[nH]c(-c4(-c5(C6CC(C7CC(c8cc[nH]c8)NC7)NC6)cc[nH]c5)ccc[nH+]c4)c3)c2)c1,-4.497,-4.026,16
9,c1(F)c[nH]c(-c2ccc[n+](-c3c[nH]c(-c4(-c5(C6CCNC6)cc[nH]c5)ccc[nH+]c4)c3)c2)c1,-2.729,-1.609,10
9,c1(F)c[nH]c(-c2ccc[n+](-c3c[nH]c(-c4(-c5cc[nH]c5)ccc[nH+]c4)c3)c2)c1,-1.945,-1.609,9
9,c1(F)c[nH]c(-c2ccc[n+](-c3c[nH]c(-c4ccc[n+](-c5(C6CC(C7CC(c8cc[nH]c8)NC7)NC6)cc[nH]c5)c4)c3)c2)c1,-1.601,-2.197,17
9,c1(F)cc(-c2ccc[n+](-c3cc(-c4ccc[n+](-c5cc(C6CC(C7CC(c8cc[nH]c8)NC7)NC6)[nH]c5)c4)[nH]c3)c2)[nH]c1,-8.50932,-17.87,25
9,c1(F)cc(-c2ccc[n+](-c3cc(-c4ccc[nH+]c4)[nH]c3)c2)[nH]c1,-2.951,-1.609,8
9,c1(F)cc[nH]c1,-4.88,-0.6934,2
9,c1cc[nH]c1,-1.768,-0.6934,1
